trade_id,order_id,strategy_id,timestamp,side,qty,exec_price,raw_price,commission,notional,liquidity_role
TRD-000121,ORD-000011,strategy-1,2026-03-02T02:42:21.193000,BUY,0.515121,66279.1,66279.1,0.0,34141.75627110001,TAKER
TRD-000122,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.1212,66233.4,66233.4,0.0,8027.488079999999,TAKER
TRD-000123,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.016515,66235.6,66235.6,0.0,1093.880934,TAKER
TRD-000124,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.0002,66235.7,66235.7,0.0,13.24714,TAKER
TRD-000125,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.081549,66242.1,66242.1,0.0,5401.9770129,TAKER
TRD-000126,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.151267,66242.2,66242.2,0.0,10020.2588674,TAKER
TRD-000127,ORD-000011,strategy-1,2026-03-02T02:49:59.193000,BUY,0.114148,66242.3,66242.3,0.0,7561.4260604,TAKER
TRD-000128,ORD-000012,strategy-1,2026-03-02T02:56:23.795000,SELL,0.194973,66333.5,66333.5,0.0,12933.2414955,TAKER
TRD-000129,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.531708,66363.0,66363.0,0.0,35285.738004,TAKER
TRD-000130,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.013725,66362.9,66362.9,0.0,910.8308024999999,TAKER
TRD-000131,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.014481,66362.4,66362.4,0.0,960.9939144,TAKER
TRD-000132,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.018985,66362.0,66362.0,0.0,1259.88257,TAKER
TRD-000133,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.024,66361.9,66361.9,0.0,1592.6855999999998,TAKER
TRD-000134,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.036,66360.8,66360.8,0.0,2388.9888,TAKER
TRD-000135,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.0036,66360.0,66360.0,0.0,238.896,TAKER
TRD-000136,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.024419,66359.6,66359.6,0.0,1620.4350724,TAKER
TRD-000137,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.002262,66359.3,66359.3,0.0,150.10473660000002,TAKER
TRD-000138,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.0128,66358.1,66358.1,0.0,849.3836800000001,TAKER
TRD-000139,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.02,66357.6,66357.6,0.0,1327.152,TAKER
TRD-000140,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.00521,66356.5,66356.5,0.0,345.71736500000003,TAKER
TRD-000141,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.033262,66356.4,66356.4,0.0,2207.1465768,TAKER
TRD-000142,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.0002,66355.6,66355.6,0.0,13.271120000000002,TAKER
TRD-000143,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.012801,66353.4,66353.4,0.0,849.3898733999999,TAKER
TRD-000144,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.000114,66352.4,66352.4,0.0,7.5641736,TAKER
TRD-000145,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.001124,66351.7,66351.7,0.0,74.5793108,TAKER
TRD-000146,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.03,66351.3,66351.3,0.0,1990.539,TAKER
TRD-000147,ORD-000012,strategy-1,2026-03-02T02:56:43.192000,SELL,0.020335999999999972,66349.8,66349.8,0.0,1349.2895327999981,TAKER
TRD-000148,ORD-000013,strategy-1,2026-03-02T03:00:28.992000,BUY,0.189099,66261.9,66261.9,0.0,12530.059028099999,TAKER
TRD-000149,ORD-000013,strategy-1,2026-03-02T03:00:45.992000,BUY,0.507634,66260.6,66260.6,0.0,33636.1334204,TAKER
TRD-000150,ORD-000013,strategy-1,2026-03-02T03:01:02.793000,BUY,0.30326699999999995,66239.4,66239.4,0.0,20088.224119799994,TAKER
TRD-000151,ORD-000014,strategy-1,2026-03-02T03:07:53.592000,SELL,0.360381,66295.5,66295.5,0.0,23891.6385855,TAKER
TRD-000152,ORD-000014,strategy-1,2026-03-02T03:08:11.193000,SELL,0.492663,66340.4,66340.4,0.0,32683.460485199997,TAKER
TRD-000153,ORD-000014,strategy-1,2026-03-02T03:08:11.193000,SELL,0.043151,66339.9,66339.9,0.0,2862.6330249,TAKER
TRD-000154,ORD-000014,strategy-1,2026-03-02T03:08:11.193000,SELL,0.10380499999999993,66339.8,66339.8,0.0,6886.402938999995,TAKER
TRD-000155,ORD-000015,strategy-1,2026-03-02T03:56:20.592000,BUY,0.239523,66855.5,66855.5,0.0,16013.4299265,TAKER
TRD-000156,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.112893,66836.5,66836.5,0.0,7545.3729945,TAKER
TRD-000157,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.007738,66836.6,66836.6,0.0,517.1816108,TAKER
TRD-000158,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.0004,66836.9,66836.9,0.0,26.734759999999998,TAKER
TRD-000159,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.00748,66837.0,66837.0,0.0,499.94075999999995,TAKER
TRD-000160,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.0036,66839.6,66839.6,0.0,240.62256000000002,TAKER
TRD-000161,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.000113,66839.9,66839.9,0.0,7.552908699999999,TAKER
TRD-000162,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.0006,66841.9,66841.9,0.0,40.10513999999999,TAKER
TRD-000163,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.031609,66842.7,66842.7,0.0,2112.8309043,TAKER
TRD-000164,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.105021,66842.8,66842.8,0.0,7019.8976988,TAKER
TRD-000165,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.000871,66843.6,66843.6,0.0,58.22077560000001,TAKER
TRD-000166,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.03369,66845.6,66845.6,0.0,2252.028264,TAKER
TRD-000167,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.11275,66845.7,66845.7,0.0,7536.852675,TAKER
TRD-000168,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.000113,66846.6,66846.6,0.0,7.5536658,TAKER
TRD-000169,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.00748,66848.7,66848.7,0.0,500.02827599999995,TAKER
TRD-000170,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.03,66848.8,66848.8,0.0,2005.464,TAKER
TRD-000171,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.047019,66849.5,66849.5,0.0,3143.1966405,TAKER
TRD-000172,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.0832,66849.6,66849.6,0.0,5561.88672,TAKER
TRD-000173,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.097406,66851.3,66851.3,0.0,6511.717727800001,TAKER
TRD-000174,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.014961,66851.9,66851.9,0.0,1000.1712759,TAKER
TRD-000175,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.000871,66852.3,66852.3,0.0,58.2283533,TAKER
TRD-000176,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.000113,66853.3,66853.3,0.0,7.5544229,TAKER
TRD-000177,ORD-000015,strategy-1,2026-03-02T03:56:36.993000,BUY,0.009596,66855.1,66855.1,0.0,641.5415396000001,TAKER
TRD-000178,ORD-000015,strategy-1,2026-03-02T03:56:53.992000,BUY,0.05295299999999983,66837.7,66837.7,0.0,3539.2567280999883,TAKER
TRD-000179,ORD-000016,strategy-1,2026-03-02T04:27:26.392000,SELL,0.178717,66915.8,66915.8,0.0,11958.9910286,TAKER
TRD-000180,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.529877,66930.4,66930.4,0.0,35464.8795608,TAKER
TRD-000181,ORD-000016,strategy-1,2026-03-02T04:28:16.392000,SELL,0.014604,66930.0,66930.0,0.0,977.44572,TAKER
